,Movie title,Duration,Genre,Description,Image link
57,(3D) Pan (PG: Some Frightening Scenes & Violence),112 minutes,Adventure/ Fantasy,"Offering a new take on the origin of the classic characters created by J.M. Barrie, the action adventure follows the story of an orphan who is spirited away to the magical Neverland. There, he finds both fun and dangers, and ultimately discovers his destiny—to become the hero who will be forever known as Peter Pan.",http://media.gv.com.sg/imagesresize/img5410.jpg
58,(3D) Alita: Battle Angel (PG13: Some Violence),122 minutes,Action/ Adventure,"Visionary filmmakers James Cameron (AVATAR) and Robert Rodriguez (SIN CITY) create a groundbreaking new heroine in ALITA: BATTLE ANGEL, an action-packed story of hope, love and empowerment. Set several centuries in the future, the abandoned Alita (Rosa Salazar) is found in the scrapyard of Iron City by Ido (Christoph Waltz), a compassionate cyber-doctor who takes the unconscious cyborg Alita to his clinic. When Alita awakens she has no memory of who she is, nor does she have any recognition of the world she finds herself in. Everything is new to Alita, every experience a first. As she learns to navigate her new life and the treacherous streets of Iron City, Ido tries to shield Alita from her mysterious past while her street-smart new friend, Hugo (Keean Johnson), offers instead to help trigger her memories. A growing affection develops between the two until deadly forces come after Alita and threaten her newfound relationships. It is then that Alita discovers she has extraordinary fighting abilities that could be used to save the friends and family she’s grown to love. Determined to uncover the truth behind her origin, Alita sets out on a journey that will lead her to take on the injustices of this dark, corrupt world, and discover that one young woman can change the world in which she lives.",https://www.gv.com.sg/media/imagesresize/img6446.jpg
59,(Atmos) Alita: Battle Angel (PG13: Some Violence),122 minutes,Action/ Adventure,"Visionary filmmakers James Cameron (AVATAR) and Robert Rodriguez (SIN CITY) create a groundbreaking new heroine in ALITA: BATTLE ANGEL, an action-packed story of hope, love and empowerment. Set several centuries in the future, the abandoned Alita (Rosa Salazar) is found in the scrapyard of Iron City by Ido (Christoph Waltz), a compassionate cyber-doctor who takes the unconscious cyborg Alita to his clinic. When Alita awakens she has no memory of who she is, nor does she have any recognition of the world she finds herself in. Everything is new to Alita, every experience a first. As she learns to navigate her new life and the treacherous streets of Iron City, Ido tries to shield Alita from her mysterious past while her street-smart new friend, Hugo (Keean Johnson), offers instead to help trigger her memories. A growing affection develops between the two until deadly forces come after Alita and threaten her newfound relationships. It is then that Alita discovers she has extraordinary fighting abilities that could be used to save the friends and family she’s grown to love. Determined to uncover the truth behind her origin, Alita sets out on a journey that will lead her to take on the injustices of this dark, corrupt world, and discover that one young woman can change the world in which she lives.",https://www.gv.com.sg/media/imagesresize/img6446.jpg
60,(D-Box) Alita: Battle Angel (PG13: Some Violence),122 minutes,Action Adventure,"Visionary filmmakers James Cameron (AVATAR) and Robert Rodriguez (SIN CITY) create a groundbreaking new heroine in ALITA: BATTLE ANGEL, an action-packed story of hope, love and empowerment. Set several centuries in the future, the abandoned Alita (Rosa Salazar) is found in the scrapyard of Iron City by Ido (Christoph Waltz), a compassionate cyber-doctor who takes the unconscious cyborg Alita to his clinic. When Alita awakens she has no memory of who she is, nor does she have any recognition of the world she finds herself in. Everything is new to Alita, every experience a first. As she learns to navigate her new life and the treacherous streets of Iron City, Ido tries to shield Alita from her mysterious past while her street-smart new friend, Hugo (Keean Johnson), offers instead to help trigger her memories. A growing affection develops between the two until deadly forces come after Alita and threaten her newfound relationships. It is then that Alita discovers she has extraordinary fighting abilities that could be used to save the friends and family she’s grown to love. Determined to uncover the truth behind her origin, Alita sets out on a journey that will lead her to take on the injustices of this dark, corrupt world, and discover that one young woman can change the world in which she lives.",https://www.gv.com.sg/media/imagesresize/img6446.jpg
61,(Eng Sub) The Lego Movie 2: The Second Part (PG),107 minutes,Animation,"The much-anticipated sequel to the critically acclaimed, global box office phenomenon that started it all, “The LEGO® Movie 2: The Second Part,” reunites the heroes of Bricksburg in an all new action-packed adventure to save their beloved city. It’s been five years since everything was awesome and the citizens are facing a huge new threat: LEGO DUPLO® invaders from outer space, wrecking everything faster than they can rebuild. The battle to defeat them and restore harmony to the LEGO universe will take Emmet, Lucy, Batman and their friends to faraway, unexplored worlds, including a strange galaxy where everything is a musical. It will test their courage, creativity and Master Building skills, and reveal just how special they really are.",https://www.gv.com.sg/media/imagesresize/img6447.jpg
62,(3D) The Lego Movie 2: The Second Part (PG),107 minutes,Animation,"The much-anticipated sequel to the critically acclaimed, global box office phenomenon that started it all, “The LEGO® Movie 2: The Second Part,” reunites the heroes of Bricksburg in an all new action-packed adventure to save their beloved city. It’s been five years since everything was awesome and the citizens are facing a huge new threat: LEGO DUPLO® invaders from outer space, wrecking everything faster than they can rebuild. The battle to defeat them and restore harmony to the LEGO universe will take Emmet, Lucy, Batman and their friends to faraway, unexplored worlds, including a strange galaxy where everything is a musical. It will test their courage, creativity and Master Building skills, and reveal just how special they really are.",https://www.gv.com.sg/media/imagesresize/img6447.jpg
63,Cold Pursuit (NC16: Violence & Some Drug References),118 minutes,Action/ Adventure,"COLD PURSUIT, an action thriller infused with irreverent humor, stars Liam Neeson as Nels Coxman, a family man whose quiet life with his wife (Laura Dern) is upended following the mysterious death of their son. Nels’ search for justice turns into a vengeful hunt for Viking (Tom Bateman), a drug lord he believes is connected to the death. As one by one each of Viking’s associates “disappear,” Nels goes from upstanding citizen to ice-cold vigilante, letting nothing — and no one — get in his way.",https://www.gv.com.sg/media/imagesresize/img6510.jpg
64,The Curse Of The Weeping Woman (NC16: Horror),93 minutes,Horror/ Thriller,"La Llorona. The Weeping Woman. A horrifying apparition, caught between Heaven and Hell, trapped in a terrible fate sealed by her own hand. The mere mention of her name has struck terror around the world for generations. In life, she drowned her children in a jealous rage, throwing herself in the churning river after them as she wept in pain. Now her tears are eternal. They are lethal, and those who hear her death call in the night are doomed. La Llorona creeps in the shadows and preys on the children, desperate to replace her own. As the centuries have passed, her desire has grown more voracious…and her methods more terrifying.",https://www.gv.com.sg/media/imagesresize/img6511.jpg
65,Marvel Studio's Avengers: Endgame (PG13: Some Violence),181 minutes,Action/ Adventure,"The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers ranks compels the remaining Avengers to take one final stand in Marvel Studios’ grand conclusion to twenty-two films, “Avengers: Endgame.”",https://www.gv.com.sg/media/imagesresize/img6512.jpg
66,Little (Rating to be Advised),181 minutes,Comedy,"Regina Hall (""Girls Trip"") and Marsai Martin (""Black-ish"") both star as Jordan Sanders — Hall as the take-no-prisoners tech mogul Jordan and Martin as the 13-year-old version of her who wakes up in her adult self’s penthouse just before a do-or-die presentation. Issa Rae (""Insecure"") plays Jordan’s long-suffering assistant April, the only one in on the secret that her daily tormentor is now trapped in an awkward tween body just as everything is on the line. ""Little"" is an irreverent new comedy about the price of success, the power of sisterhood and having a second chance to grow up — and glow up — right.",https://www.gv.com.sg/media/imagesresize/img6513.jpg
67,Pokemon Detective Pikachu (PG: Some Intense Sequences),105 minutes,Adventure/ Fantasy,"The story begins when ace detective Harry Goodman goes mysteriously missing, prompting his 21-year-old son Tim to find out what happened. Aiding in the investigation is Harry’s former Pokémon partner, Detective Pikachu: a hilariously wise-cracking, adorable super-sleuth who is a puzzlement even to himself. Finding that they are uniquely equipped to communicate with one another, Tim and Pikachu join forces on a thrilling adventure to unravel the tangled mystery. Chasing clues together through the neon-lit streets of Ryme City—a sprawling, modern metropolis where humans and Pokémon live side by side in a hyper-realistic live-action world—they encounter a diverse cast of Pokémon characters and uncover a shocking plot that could destroy this peaceful co-existence and threaten the whole Pokémon universe.",https://www.gv.com.sg/media/imagesresize/img6514.jpg
68,John Wick: Chapter 3 (M18: Violence),131 minutes,Action/ Adventure,"In this third installment of the adrenaline-fueled action franchise, super-assassin John Wick (Keanu Reeves) returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",https://www.gv.com.sg/media/imagesresize/img6515.jpg
69,Disney's Aladdin (PG),128 minutes,Action/ Adventure,"A thrilling and vibrant live-action adaptation of Disney’s animated classic, “Aladdin” is the exciting tale of the charming street rat Aladdin, the courageous and self-determined Princess Jasmine and the Genie who may be the key to their future. Directed by Guy Ritchie (“Sherlock Holmes,” “The Man from U.N.C.L.E.”), who brings his singular flair for fast-paced, visceral action to the fictitious port city of Agrabah, “Aladdin” is written by John August (“Dark Shadows,” “Big Fish”) and Ritchie based on Disney’s “Aladdin.” The film stars Will Smith (“Ali,” “Men in Black”) as the larger-than-life Genie; Mena Massoud (“Tom Clancy’s Jack Ryan”) as the charming scoundrel Aladdin; Naomi Scott (“Power Rangers”) as Jasmine, the beautiful, self-determined princess; Marwan Kenzari (“Murder on the Orient Express”) as Jafar, the powerful sorcerer; Navid Negahban (“Legion”) as the Sultan concerned with his daughter’s future; Nasim Pedrad (“Saturday Night Live”) as Dalia, Princess Jasmine’s free-spirited best friend and confidante; Billy Magnussen (“Into the Woods”) as the handsome and arrogant suitor Prince Anders; and Numan Acar (“The Great Wall”) as Hakim, Jafar’s right-hand man and captain of the palace guards.",https://www.gv.com.sg/media/imagesresize/img6516.jpg
70,Destroyer (M18: Sexual Scene & Coarse Language),121 minutes,Action/ Drama,"Destroyer follows the moral and existential odyssey of LAPD detective Erin Bell who, as a young cop, was placed undercover with a gang in the California desert with tragic results.. When the leader of that gang re-emerges many years later, she must work her way back through the remaining members and into her own history with them to finally reckon with the demons that destroyed her past.",https://www.gv.com.sg/media/imagesresize/img6517.jpg
71,Breakthrough (PG: Some Disturbing Scenes),117 minutes,Drama,"BREAKTHROUGH is based on the inspirational true story of one mother's unfaltering love in the face of impossible odds. When Joyce Smith's adopted son John falls through an icy Missouri lake, all hope seems lost. But as John lies lifeless, Joyce refuses to give up. Her steadfast belief inspires those around her to continue to pray for John's recovery, even in the face of every case history and scientific prediction. From producer DeVon Franklin (Miracles From Heaven) and adapted for the screen by Grant Nieporte (Seven Pounds) from Joyce Smith's own book, BREAKTHROUGH is an enthralling reminder that faith and love can create a mountain of hope, and sometimes even a miracle.",https://www.gv.com.sg/media/imagesresize/img6518.jpg
72,Godzilla II King Of The Monsters (PG13: Some Intense Sequences),132 minutes,Action/ Adventure,"The new story follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species – thought to be mere myths – rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",https://www.gv.com.sg/media/imagesresize/img6519.jpg
73,The Secret Life Of Pets 2 (PG),86 minutes,Animation,"The Secret Life of Pets 2 will follow summer 2016’s blockbuster about the lives our pets lead after we leave for work or school each day. Illumination founder and CEO Chris Meledandri and his longtime collaborator Janet Healy will produce the sequel to the comedy that had the best opening ever for an original film, animated or otherwise. The Secret Life of Pets 2 will see the return of writer Brian Lynch (Minions) and once again be directed by Chris Renaud (Despicable Me series, Dr. Seuss’ The Lorax).",https://www.gv.com.sg/media/imagesresize/img6520.jpg
74,The Intruder (PG13: Scene Of Intimacy & Violence),102 minutes,Thriller,"When a young married couple (Michael Ealy and Meagan Good) buys their dream house in the Napa Valley, they think they have found the perfect home to take their next steps as a family. But when the strangely attached seller (Dennis Quaid) continues to infiltrate their lives, they begin to suspect that he has hidden motives beyond a quick sale.",https://www.gv.com.sg/media/imagesresize/img6521.jpg
75,Gold Class Awards Screening: Bohemain Rhapsody (M18: Some Mature Content),136 minutes,Drama/ Musical,"This award season, we bring to you our best picks at Gold Class®!",https://www.gv.com.sg/media/imagesresize/img6522.jpg
76,Gold Class Awards Screening: A Star Is Born (M18: Sexual Scene And Nudity),136 minutes,Romance/ Musical,"This award season, we bring to you our best picks at Gold Class®!",https://www.gv.com.sg/media/imagesresize/img6523.jpg
77,Gold Class Awards Screening: Green Book (PG13: Some Coarse Language),130 minutes,Drama,"This award season, we bring to you our best picks at Gold Class®!",https://www.gv.com.sg/media/imagesresize/img6524.jpg
78,Fans Screening: BanG Dream! Film Live (PG),75 minutes,Animation,"The first film adaptation of popular mobile game, BanG Dream! Girls Band Party, will bring the five bands of the franchise together into a most highly-anticipated concert.",https://www.gv.com.sg/media/imagesresize/img7155.jpg
79,Bang Dream! Film Live (PG),75 minutes,Animation,"The first film adaptation of popular mobile game, BanG Dream! Girls Band Party, will bring the five bands of the franchise together into a most highly-anticipated concert.",https://www.gv.com.sg/media/imagesresize/img7156.jpg
80,Fans' Screening: Kamen Rider Zi-O Over Quartzer (PG),67 minutes,Action Adventure,"For all who are waiting for Kamen Rider Zi-O Over Quartzer, the wait is finally over!",https://www.gv.com.sg/media/imagesresize/img7157.jpg
81,Kamen Rider Zi-O Over Quartzer (PG),67 minutes,Action/ Adventure,"Sougo Tokiwa and his friends end up in 16th century Japanese during the legendary battle between Oda Nobunaga and Takeda Katsuyori after being approached by Go Shijima and Krim Steinbelt to prevent the latter's ancestor from being killed by a group of time traveling observers known as the ""Quartzers"", who seek to erase Kamen Rider Drive from history. As Woz reveals himself to be a member of Quartzers, the truth behind Oma Zi-O is finally revealed.",https://www.gv.com.sg/media/imagesresize/img7158.jpg
82,Fans' Screening: Love Live! Series Nijigasaki High School Idol Club First Live “with You” (PG),240 minutes,Concert,"Catch the 9 new LoveLive! idols' performance at their first concert, LoveLive! Nijigasaki High School Idol Club First Live ""with You"" that was held at Musashino Forest Sports Plaza's Main Arena in Tokyo on 14 December 2019.",https://www.gv.com.sg/media/imagesresize/img7159.jpg
83,Saekano The Movie Finale (PG13: Some Sexual Scenes),115 minutes,Animation,"One spring day, Tomoya Aki hits upon the idea of creating a doujin video game with Megumi Kato, a girl he met under the cherry blossoms, as the main heroine. Tomoya forms a development team called blessing software with Eriri Spencer Sawamura, an art club member and doujin illustrator, and Utaha Kasumigaoka, an honors student and successful light novelist. After various setbacks, the team finally announces its first work… Later, Eriri and Utaha leave the group to join popular creator Akane Kosaka in developing a major game called Fields Chronicle. Tomoya, the face of blessing software, continues the group’s activities with Megumi as his deputy. Together they begin developing a new work. Younger student Izumi Hashima is tapped as the illustrator, while her older brother, Iori, is approached to be the game’s producer. Along with Michiru Hyodo and her band icy tail., Tomoya and Megumi proceed with the development of their new game, but trouble is brewing… What will become of Eriri and Utaha’s major work? Will the relationship between Tomoya and Megumi change? And what will be the ultimate fate of blessing software’s new game?",https://www.gv.com.sg/media/imagesresize/img7160.jpg
84,Konosuba: God's Blessing On This Wonderful World! (NC16: Some Sexual References),90 minutes,Animation,"Satou Kazuma's life should've ended when he was hit by a truck, but through a twist in fate, he ends up reincarnating in another world--and dragging the goddess, Aqua, along with him. When it turns out that the Crimson Demon village is facing a threat that could mean it's ending. Kazuma and his gang follow Yunyun, intent on saving the village... when they are faced with their greatest threat yet!",https://www.gv.com.sg/media/imagesresize/img7161.jpg
85,Fans' Screening Day 1: Love Live! Series 9th Anniversary LOVE LIVE! FEST (PG),195 minutes,Concerts,Celebrate LOVE LIVE! 9th Anniversary and catch all your favourite LOVE LIVE! Idols at the “LOVE LIVE! FEST” concert!,https://www.gv.com.sg/media/imagesresize/img7162.jpg
86,Fans' Screening Day 2: Love Live! Series 9th Anniversary LOVE LIVE! FEST (PG),206 minutes,Concerts,Celebrate LOVE LIVE! 9th Anniversary and catch all your favourite LOVE LIVE! Idols at the “LOVE LIVE! FEST” concert!,https://www.gv.com.sg/media/imagesresize/img7163.jpg
87,FANS SCREENING DAY 1 BUNDLE B LOVE LIVE! SERIES (PG),206 minutes,Concerts,Celebrate LOVE LIVE! 9th Anniversary and catch all your favourite LOVE LIVE! Idols at the “LOVE LIVE! FEST” concert!,https://media.gv.com.sg/imagesresize/img7164.jpg
88,Fans' Screening: Konosuba: God's Blessing On This Wonderful World! (NC16: Some Sexual References),90 minutes,Animation,Rebirth into a fantasy world and fighting monsters alongside with the goddesses? Definitely god’s blessing on this wonderful world!,https://www.gv.com.sg/media/imagesresize/img7165.jpg
89,Fan Screening: Kamen Rider - Reiwa the First Generation (PG13: Some Violence),98 minutes,Action/ Adventure,"For all who’re waiting for Kamen Rider – Reiwa the First Generation, the wait is finally over!",https://www.gv.com.sg/media/imagesresize/img7166.jpg
90,My Hero Academia: Heroes Rising (PG13: Some Violence),104 minutes,Animation,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it’s more like a vacation - until they’re attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens’ lives on the line, there’s no time for questions. Deku and his friends are the next generation of heroes, and they’re the island’s only hope.",https://www.gv.com.sg/media/imagesresize/img7167.jpg
91,Kamen Rider - Reiwa The First Generation (PG13: Some Violence),98 minutes,Action/ Adventure,"Another Rider from the world that Zi-O brought to an end suddenly stands in the way of Hiden Aruto/Kamen Rider Zero-One! At the moment another Rider is born, their existence rewrites the history of the Rider of that era, causing them to lose their powers.",https://www.gv.com.sg/media/imagesresize/img7168.jpg
92,LIVE VIEWING HYPNOSISMIC - DIVISION RAP BATTLE (TBA),98 minutes,Action/ Adventure,"Another Rider from the world that Zi-O brought to an end suddenly stands in the way of Hiden Aruto/Kamen Rider Zero-One! At the moment another Rider is born, their existence rewrites the history of the Rider of that era, causing them to lose their powers.",https://media.gv.com.sg/imagesresize/img7169.jpg
93,Digimon Adventure - Last Evolution Kizuna (PG),94 minutes,Animation,"It's the year 2020. The Network has become something humans can no longer do without in their daily lives. But what humans don't know is that on the other side of the Network is the Digital World, a realm of light and darkness. Nor are they aware of the Digimon who live there. Widespread Network difficulties arise, centered around the Tokyo area. Traffic signals blink chaotically, public outdoor TVs display garbled text, and so on. The news reports it as a case of cyberterrorism. Fifth grader Taichi Yagami stayed home by himself to get ready for a weekend summer camp, but his mother and little sister Hikari went to Shibuya, and now they're aboard a runaway train. Taichi hurries to Shibuya to save his mother and sister, but the instant he heads toward the station platform... a strange phenomenon befalls the DigiDestined, and Taichi goes to the Digital World! The DigiDestined meet their partner Digimon, and they're faced with an adventure into the unknown...!",https://www.gv.com.sg/media/imagesresize/img7170.jpg
94,Crayon Shinchan: Crash! Rakuga Kingdom And The Four Heroes * (PG: Brief Nudity),103 minutes,Animation,"The kingdom that floats above in the sky, that uses free doodles as an energy source, “Rakuga Kingdom.” However, now in the face of a lack in energy, they are on the brink of ruin. In order to force the creation of doodles, the kingdom’s army begins its attack on Kasukabe on the surface! Meanwhile, as the drawings begin to move, the hero who is bestowed the hidden treasure of the kingdom, the “Miracle Crayon”—is none other than the “super happy-go-lucky 5-year-old,” Nohara Shinnosuke!! Together as the “Almost Four Heroes,” Shinnosuke and the drawn doodles try to take back Kasukabe! Amongst that, they discover the weakness of the doodles, where they dissolve upon contact with water! To make matters worse, a raincloud that looks to start pouring at any moment hovers above… What awaits their encounter with the doodles and the end of their adventure—will it be smiles, or tears!?",https://www.gv.com.sg/media/imagesresize/img7171.jpg
95,Fans' Screening: Re:Zero – Starting Life in Another World – Memory Snow & The Frozen Bond OVA Movie (PG13: Some Violence),137 minutes,Animation,Re:Zero – Starting Life in Another World is a popular Japanese light novel series written by Tappei Nagatsuki and illustrated by Shinichirou Otsuka.,https://www.gv.com.sg/media/imagesresize/img7172.jpg
96,Re:Zero – Starting Life in Another World – Memory Snow & The Frozen Bond OVA Movie (PG13: Some Violence),137 minutes,Animation,Synopsis of Re:Zero – Starting Life in Another World – Memory Snow,https://www.gv.com.sg/media/imagesresize/img7173.jpg
97,Made In Abyss: Dawn Of A Deep Soul (NC16: Violence & Disturbing Scenes),120 minutes,Animation,"Dawn of a Deep Soul continues the epic adventure of Riko and Reg who are joined by their new friend Nanachi. Together they descend into the Abyss’ treacherous fifth layer, the Sea of Corpses, and encounter the mysterious Bondrewd, a legendary White Whistle whose shadow looms over Nanachi’s troubled past. Bondrewd is ingratiatingly hospitable, but the brave adventurers know things are not always as they seem in the enigmatic Abyss…",https://www.gv.com.sg/media/imagesresize/img7174.jpg
