,Movie title,Duration,Genre,Description,Image link
20,Talvar (PG13: Some Violence),133 minutes,Drama/ Thriller,"Talvar (The Sword) is a Bollywood murder mystery thriller film directed by Meghna Gulzar.The film is based on the real life incident of the 2008 Noida double murder case, in which a teenage girl and the domestic help were found murdered, and her parents were arrested for the murders. The film showcases three perspectives to the case which emerge as the investigation moves forward.",http://media.gv.com.sg/imagesresize/img4505.jpg
21,Puli (PG13: Some Violence),154 minutes,Action/ Adventure,"Puli (English: Tiger) is an upcoming Indian Tamil action-adventure fantasy film written and directed by Chimbu Deven. The film features Vijay in a dual role alongside an ensemble cast including Sudeep, Prabhu, Sridevi, Shruti Haasan, Hansika Motwani andNandita.Produced by Vijay's public relations officer Selvakumar, the project has music composed by Devi Sri Prasad, Natarajan Subramaniam as cinematographer and has T.Muthuraj as Production Designer.",http://media.gv.com.sg/imagesresize/img4506.jpg
22,Singh Is Bling (PG: Some Violence),139 minutes,Comedy,"Raftaar Singh (Akshay Kumar), the apple of his mother’s (Rati Agnihotri) eye, is also the biggest irritant for his father (Yograj Singh). He is always looking to have fun and runs away from responsibility. This displeases his father to no end. One day, fed up of his dalliances, his fathers orders Raftaar to go to Goa and work for his friend there, and learn to take on responsibility.",http://media.gv.com.sg/imagesresize/img4507.jpg
23,Kunjiramayanam (PG),123 minutes,Romance/ Comedy,‘Kunjiramayanam’ set in a rustic village named Desham revolves around a group of youngsters. The movie is written and directed by debutant Basil Joseph who was earlier known for directing popular and acclaimed short films Priyamvadha Katharayano.. Actor siblings Vineeth Sreenivasan and Dhyan Sreenivasan are acting together for the first time .,http://media.gv.com.sg/imagesresize/img4508.jpg
24,Kis Kisko Pyaar Karoon (PG),133 minutes,Comedy,"It’s said that the second name of marriage is an accident. That is why wise people always run away from marriage. Usually people are accident prone, but SRK – Shiv Ram Kishan (Kapil Sharma) – is ‘marriage prone’. So not only does he get married once or twice but thrice and to top it all he also has a girlfriend (Elli Avram)! Fun-loving romantic, SRK, falls in love with all four women, but how will he keep them from finding out about each other? That is the essence of this fun-filled and entertaining story.",http://media.gv.com.sg/imagesresize/img4509.jpg
25,Jazbaa (NC16: Sexual Violence),125 minutes,Action/ Thriller,"Jazbaa is a fast paced, edge of your seat, action thriller with an equally frantic and bustling Mumbai city as its backdrop. Directed by Sanjay Gupta, the film stars Aishwarya Rai Bachchan and Irrfan in lead roles.",http://media.gv.com.sg/imagesresize/img4510.jpg
26,10 Endrathukulla (PG13: Some Violence & Coarse Language),145 minutes,Road Thriller,"Directed by cinematographer turned director SD Vijay Milton, 10 Enradhukulla is an upcoming road thriller movie with Vikram-Samanth as the lead pair and Jackie Shroff plays the antagonist. Music is composed by D. Imman.",http://media.gv.com.sg/imagesresize/img4512.jpg
27,Dagaalty (NC16: Some Drug Use),122 minutes,Action/ Comedy,"Vijay Samrat of Mumbai is one of the richest and most powerful business tycoons in the country Guru, a young and charming guy also living in Mumbai is a freelancer of low-level illegal stuff. Malli is an intelligent, brave and innocent girl from Thiruchendur, whose ambition is to become a film director. She runs away from home. Guru tells her that Shah Rukh Khan is a close friend of him, that he can get her to meet him and hence convinces her to go with him to Mumbai. He hand over her to Vijay Samrat’s people and gains the full amount of 10 crores. Guru realizes that he has made a huge mistake by handing her over to Vijay Samrat’s people and feels guilty for exploiting Malli’s innocence. What will happen to Malli? Will Guru save Malli at the right time? If so, how does he do it? Forms the rest of the narrative.",https://www.gv.com.sg/media/imagesresize/img4513.jpg
28,Ennu Ninte Moideen (PG),168 minutes,Romance,"Ennu Ninte Moideen is a romantic drama that invites its viewers to soak themselves in a compelling romantic tale that is prudently drawn from real life. A pithy, well­acted and remarkably crafted film, this narrative of love, comes across as a true celebration of the tender, expectant spirit that lies deep within it.",http://media.gv.com.sg/imagesresize/img4514.jpg
29,Shanndar (PG13: Some Drug & Sexual References),170 minutes,Romantic Comedy,Shaandar movie will be India’s first destination wedding film where both Shahid and Alia suffer from insomnia and it is their quirkiness that gets them bonding.,http://media.gv.com.sg/imagesresize/img4515.jpg
